163,jalur La pelanggan Bi_hh jl raya Bogor,https://strava.app.link/br3c9803TEb,Tidak ada temuan,Tidak ada,2023-11-21
164,Jalur DWDM HHR-DCI,https://strava.app.link/niXiVtieVEb,Ada Pekerjaan SPAM Jatiluhur Jl Hasibuan dan Pekerjaan Saluran Air Warung Bongkok Cikarang,Monitoring,2023-11-21
165,Jalur DWDM HHR-KGD,https://strava.app.link/LcdtADCPTEb,Tidak ada temuan,Tidak ada,2023-11-21
166,Jalur DWDM TBS-DCI,https://strava.app.link/bDFUqTbdVEb,Tidak ada temuan,Tidak ada,2023-11-21
167,jalur LA pasar cibubur,https://strava.app.link/tZdifgViVEb,Tidak ada temuan,Tidak ada,2023-11-22
168,jalur La bts madinatul cbn_PL,https://strava.app.link/5ydBns9sVEb,Tidak ada temuan,Tidak ada,2023-11-22
169,jalur La bts pesona vista,https://strava.app.link/oMhoFPRxVEb,Tidak ada temuan,Tidak ada,2023-11-22
170,jalur La bts mampir cileungsi,https://strava.app.link/QoOiVveyVEb,Tidak ada temuan,Tidak ada,2023-11-22
171,jalur La bts citra indah,https://strava.app.link/JLgha7CEVEb,Tidak ada temuan,Tidak ada,2023-11-22
172,jalur La bts rawailat,https://strava.app.link/bc8VNeKGVEb,Tidak ada temuan,Tidak ada,2023-11-22
173,Jalur DWDM TBS-DCI,https://strava.app.link/T5DXwrFZWEb,Tidak ada temuan,Tidak ada,2023-11-22
174,Jalur DWDM HHR-DCI,https://strava.app.link/a5X7DmX4WEb,Ada Pekerjaan SPAM Jatiluhur Jl Hasibuan dan Pekerjaan Saluran Air Warung Bongkok Cikarang,,2023-11-22
175,jalur La akses yakult,https://strava.app.link/OMEaNccZWEb,Tidak ada temuan,Tidak ada,2023-11-23
176,Akses Bank BJB Cibinong,https://strava.app.link/FLIp1Ba1WEb,Tidak ada temuan,Tidak ada,2023-11-23
177,jalur La akses PT erlangga,https://strava.app.link/UofaXMn2WEb,Tidak ada temuan,Tidak ada,2023-11-23
178,jalur La jl Raya pkp,https://strava.app.link/FvkH0Z45WEb,Tidak ada temuan,Tidak ada,2023-11-23
179,XCC Bangbarung - SCC,https://strava.app.link/5YbI9Nb8WEb,Terdapat kabel pada miring sama provider lain di akibatkan longsor,"Menunggu tim P3, estimasi perbaikan 30 November 2023",2023-11-23
180,JALUR LA GTN,https://strava.app.link/z5WCSib9WEb,"dekat XCC CKR terdapat galian manual pipa pdam di lokasi galian hdpe LA sudah terlihat dan ada 4 hdpe, tim sudah koordinasi ke tukang untuk berhati hati terhadap kabel LA
- Kabel slackan berantakan di depan pintu 10 jababeka",Sudah di rapihkan,2023-11-23
181,jalur La bank bjb,https://strava.app.link/seCLsowbXEb,Tidak ada temuan,Tidak ada,2023-11-23
182,BTS CBN DUDU,https://strava.app.link/haWOHUJcXEb ,Tidak ada temuan,Tidak ada,2023-11-23
